Si. No. (Col. 1),City (Col. 2),Juveniles Apprehended - Boys - (Col. 3),Juveniles Apprehended - Girls - (Col. 4),Juveniles Apprehended - Total - (Col. 5),18 Years & Above - Below 30 Years - Male - (Col. 6),18 Years & Above - Below 30 Years - Female - (Col. 7),18 Years & Above - Below 30 Years - Total - (Col. 8),30 Years & above - Below 45 Years - Male - (Col. 9),30 Years & above - Below 45 Years - Female - (Col. 10),30 Years & above - Below 45 Years - Total - (Col. 11),45 Years & above - Below 60 Years - Male - (Col. 12),45 Years & above - Below 60 Years - Female - (Col. 13),45 Years & above - Below 60 Years - Total - (Col. 14),60 Years & Above - Male - (Col. 15),60 Years & Above - Female - (Col. 16),60 Years & Above - Total - (Col. 17),Total - Male - (Col. 18),Total - Female - (Col. 19),Total - Total Persons Arrested by age and Sex - (Col. 20),Crime_Risk_Category,Male_Female_Ratio,Juvenile_Percentage,Youth_18_30_Percentage,Senior_60_Plus_Percentage,ais_Predicted_Risk_Label,ais_Risk_Score
1,Ahmedabad (Gujarat),481,3,484,31809,1122,32931,28809,1700,30509,12012,893,12905,1030,199,1229,74141,3917,78058,High Risk,18.92317508933129,0.6200438130132335,42.18731984780742,1.5744500954406282,High Risk,78058
2,Bengaluru (Karnataka),192,2,194,11300,439,11739,7517,828,8345,2079,346,2425,279,78,357,21367,1693,23060,Medium Risk,12.613341204250295,0.841247127184424,50.90412384545336,1.5480681670352543,Medium Risk,23060
3,Chennai (Tamil Nadu),792,0,792,79187,9427,88614,64747,9638,74385,47378,5420,52798,23567,1590,25157,215671,26075,241746,High Risk,8.270862095413406,0.32761523410838606,36.655677216263285,10.406333894526096,High Risk,241746
4,Coimbatore (Tamil Nadu),32,0,32,5650,79,5729,6674,198,6872,1120,121,1241,339,20,359,13815,418,14233,Medium Risk,32.97136038186157,0.2248138260503021,40.24870029506815,2.5221301110018266,Medium Risk,14233
5,Delhi City,2720,4,2724,49370,587,49957,38914,769,39683,13179,259,13438,671,30,701,104854,1649,106503,High Risk,63.54787878787879,2.5576504168857506,46.90621948471419,0.6581912416435063,High Risk,106503
6,Ghaziabad (Uttar Pradesh),0,0,0,633,8,641,1170,16,1186,509,9,518,0,0,0,2312,33,2345,Low Risk,68.0,0.0,27.3231031543052,0.0,Low Risk,2345
7,Hyderabad (Telangana),249,0,249,1832,88,1920,1777,96,1873,763,25,788,25,0,25,4646,209,4855,Low Risk,22.123809523809523,5.127677100494234,39.53871499176277,0.514827018121911,Low Risk,4855
8,Indore (Madhya Pradesh),292,16,308,5430,236,5666,3743,277,4020,893,104,997,26,5,31,10384,638,11022,Medium Risk,16.25039123630673,2.7941576703256827,51.40161480540688,0.28123015513018235,Medium Risk,11022
9,Jaipur (Rajasthan),253,2,255,5716,262,5978,3428,235,3663,1259,90,1349,96,11,107,10752,600,11352,Medium Risk,17.890183028286188,2.246102351801286,52.655685721835646,0.9424821633048533,Medium Risk,11352
10,Kanpur (Uttar Pradesh),19,0,19,4434,51,4485,3098,23,3121,814,8,822,0,0,0,8365,82,8447,Low Risk,100.78313253012048,0.22490530303030304,53.08948863636363,0.0,Low Risk,8447
11,Kochi (Kerala),29,2,31,3014,23,3037,3537,84,3621,1210,67,1277,94,17,111,7884,193,8077,Low Risk,40.63917525773196,0.38375835602872,37.59593958900718,1.374102500618965,Low Risk,8077
12,Kolkata (West Bengal),100,5,105,7554,1499,9053,10308,1631,11939,4729,762,5491,679,80,759,23370,3977,27347,High Risk,5.874811463046757,0.38394032470381745,33.10296913851104,2.7753400614304518,High Risk,27347
13,Kozhikode (Kerala),11,0,11,839,21,860,769,43,812,314,23,337,85,11,96,2018,98,2116,Low Risk,20.383838383838384,0.5196032120925839,40.6235238545111,4.534718941898914,Low Risk,2116
14,Lucknow (Uttar Pradesh),104,1,105,5176,15,5191,3093,10,3103,1367,7,1374,26,0,26,9766,33,9799,Low Risk,287.2352941176471,1.0714285714285714,52.96938775510204,0.2653061224489796,Low Risk,9799
15,Mumbai (Maharashtra),353,0,353,27833,861,28694,18024,940,18964,5364,300,5664,476,37,513,52050,2138,54188,High Risk,24.333800841514726,0.651423720681319,52.95170606580671,0.9466865969108121,High Risk,54188
16,Nagpur (Maharashtra),328,3,331,7248,249,7497,5263,361,5624,1529,112,1641,112,6,118,14480,731,15211,Medium Risk,19.781420765027324,2.1759137523008154,49.28346042597949,0.7757033920589008,Medium Risk,15211
17,Patna (Bihar),24,0,24,3991,142,4133,1270,177,1447,729,208,937,0,0,0,6014,527,6541,Low Risk,11.390151515151516,0.36686028737389176,63.17639865484561,0.0,Low Risk,6541
18,Pune (Maharashtra),343,2,345,9711,290,10001,6110,362,6472,2296,184,2480,199,49,248,18659,887,19546,Medium Risk,21.01238738738739,1.7649767227707576,51.16386146211694,1.2687368905714431,Medium Risk,19546
19,Surat (Gujarat),412,0,412,20287,282,20569,14887,314,15201,5890,216,6106,479,76,555,41955,888,42843,High Risk,47.19347581552306,0.9616282326580152,48.00905611054056,1.2953972551582487,High Risk,42843
Total Cities,Total Cities,6734,40,6774,281014,15681,296695,223138,17702,240840,103434,9154,112588,28183,2209,30392,642503,44786,687289,High Risk,14.34574764998772,0.9856101500094574,43.168822476683786,4.422005267063394,High Risk,687289
